id,t0,L1,L2,L3,A,Y
1,0,0,1.147092022,5,1,0
1,1,0,-0.925403172,5,1,0
1,2,0,-0.989982417,5,0,0
1,3,1,1.005742139,5,1,0
1,4,1,-1.195646804,5,1,0
1,5,0,-0.969772315,5,1,0
1,6,1,-1.088700163,5,1,0
2,0,0,0.840910865,5,0,0
2,1,1,0.700241154,5,0,0
2,2,0,0.943097693,5,1,0
2,3,0,-0.815536263,5,0,0
2,4,1,1.116601024,5,1,0
2,5,1,-1.038211553,5,1,0
2,6,0,-1.004743304,5,0,0
3,0,0,0.977693266,7,0,0
3,1,1,0.921779636,7,1,0
3,2,1,-1.111278364,7,1,0
3,3,0,-0.977097655,7,0,0
3,4,1,0.848629299,7,1,0
3,5,0,-1.038354166,7,1,0
3,6,0,-0.991832885,7,1,0
4,0,0,1.050655419,10,1,0
4,1,0,-1.05827478,10,0,1
5,0,0,0.997086929,6,1,0
5,1,1,-0.927052053,6,1,1
6,0,0,1.031408267,8,1,0
6,1,1,-0.950134509,8,1,0
6,2,0,-0.810484537,8,0,1
7,0,0,1.151585917,7,1,0
7,1,0,-0.948444748,7,1,0
7,2,1,-0.974386562,7,1,0
7,3,0,-0.919955067,7,1,0
7,4,1,-1.049426456,7,1,0
7,5,0,-0.9416091,7,0,0
7,6,1,0.919545657,7,1,0
8,0,0,0.824709114,9,1,0
8,1,0,-1.156725339,9,1,0
8,2,0,-0.996803136,9,1,0
8,3,0,-0.962166007,9,1,0
8,4,0,-1.060395409,9,1,0
8,5,0,-0.973668576,9,1,0
8,6,0,-0.947609952,9,1,0
9,0,0,1.058062824,8,1,0
9,1,0,-0.996830956,8,1,0
9,2,1,-0.992531306,8,1,0
9,3,1,-0.839501858,8,1,0
9,4,1,-1.036115249,8,1,0
9,5,1,-0.864841675,8,1,0
9,6,0,-0.926572098,8,1,0
10,0,1,0.996899533,7,1,0
10,1,0,-1.083884754,7,1,0
10,2,0,-1.009697273,7,1,0
10,3,0,-0.976270339,7,1,0
10,4,0,-0.999958812,7,1,0
10,5,0,-0.955778586,7,1,0
10,6,0,-1.040321718,7,1,0
11,0,0,0.967762831,5,1,0
11,1,0,-1.043308592,5,1,0
11,2,1,-0.956351068,5,1,0
11,3,0,-1.054484725,5,0,1
12,0,1,0.911608919,6,1,0
12,1,0,-0.903581323,6,1,0
12,2,0,-0.938033258,6,1,0
12,3,0,-1.172575028,6,0,0
12,4,1,0.952565613,6,1,0
12,5,0,-1.126399212,6,0,0
12,6,1,1.073824432,6,0,0
13,0,0,0.937788123,10,0,0
13,1,1,0.856339102,10,1,0
13,2,0,-0.909061818,10,1,0
13,3,0,-1.178368596,10,0,0
13,4,1,1.029516881,10,1,0
13,5,0,-1.062667531,10,1,0
13,6,1,-0.896121693,10,0,0
14,0,0,1.021577337,8,1,1
15,0,1,1.058452933,8,0,0
15,1,1,1.05780271,8,1,0
15,2,1,-1.12276034,8,0,0
15,3,0,0.953874543,8,0,0
15,4,1,0.904328579,8,0,0
15,5,1,0.945456354,8,1,0
15,6,0,-1.122167901,8,0,0
16,0,1,0.880437853,8,1,0
16,1,0,-1.107342978,8,0,1
17,0,1,1.123894898,10,0,0
17,1,1,1.015648323,10,1,0
17,2,0,-0.996698504,10,0,1
18,0,0,0.969702983,8,1,0
18,1,0,-0.948595617,8,0,0
18,2,1,1.098693911,8,1,0
18,3,0,-0.862071667,8,1,0
18,4,0,-0.930815093,8,1,0
18,5,0,-0.979676676,8,1,0
18,6,0,-0.934770942,8,1,0
19,0,1,0.968868689,7,1,1
20,0,0,0.902945058,9,1,0
20,1,1,-1.003086827,9,1,0
20,2,0,-0.937950889,9,1,0
20,3,0,-1.093436892,9,1,0
20,4,0,-0.976556686,9,1,0
20,5,0,-0.832916208,9,1,0
20,6,1,-0.991457947,9,0,0
21,0,0,0.883070041,7,1,0
21,1,0,-1.133573939,7,0,0
21,2,1,0.987218641,7,1,0
21,3,0,-0.945878238,7,0,0
21,4,0,0.911238011,7,0,0
21,5,1,0.880325122,7,1,0
21,6,0,-0.985308672,7,1,0
22,0,0,0.944523068,10,1,0
22,1,0,-0.867770862,10,1,0
22,2,0,-1.253211984,10,1,0
22,3,0,-1.007184113,10,0,0
22,4,1,0.955610586,10,1,0
22,5,0,-1.141481619,10,0,0
22,6,1,1.034149955,10,1,0
23,0,0,0.937119848,10,0,0
23,1,1,1.019799066,10,0,0
23,2,1,1.084039944,10,1,0
23,3,0,-0.961889248,10,0,0
23,4,0,1.139300735,10,0,1
24,0,0,0.967716494,5,1,0
24,1,0,-1.009292386,5,0,0
24,2,0,1.176409991,5,0,0
24,3,1,1.061748793,5,0,0
24,4,1,1.043800178,5,0,0
24,5,1,0.99516291,5,0,0
24,6,1,1.196168919,5,1,0
25,0,0,1.104312074,5,0,0
25,1,0,1.120496649,5,1,0
25,2,1,-1.016667016,5,0,0
25,3,0,0.800998987,5,1,0
25,4,1,-0.808319149,5,1,0
25,5,0,-1.01703022,5,1,0
25,6,0,-0.904729751,5,1,0
26,0,0,1.031640303,10,0,0
26,1,1,0.909171201,10,0,0
26,2,1,0.763752377,10,1,0
26,3,0,-0.923224634,10,0,1
27,0,1,0.90141881,9,0,0
27,1,1,1.106292776,9,1,0
27,2,0,-1.055062422,9,1,0
27,3,1,-0.871719177,9,1,0
27,4,0,-0.941074545,9,0,0
27,5,0,0.863817499,9,1,1
28,0,0,0.95838912,7,0,0
28,1,1,0.984068046,7,1,0
28,2,0,-1.025282518,7,0,0
28,3,1,1.00768349,7,1,0
28,4,0,-0.89217634,7,1,0
28,5,0,-0.996601587,7,1,0
28,6,0,-1.10628449,7,1,0
29,0,0,0.820962687,6,1,0
29,1,0,-0.888643728,6,0,0
29,2,1,1.1328982,6,1,0
29,3,0,-1.16248632,6,0,0
29,4,1,0.952127816,6,1,0
29,5,0,-0.913611095,6,1,1
30,0,0,0.939010738,8,0,1
31,0,0,0.824321647,6,1,0
31,1,0,-0.865426845,6,1,0
31,2,0,-1.04611504,6,0,0
31,3,1,1.028619774,6,1,0
