id,t0,L1,L2,L3,A,Y
1,0,0,1.077420336,8,0.577420336,NA
1,1,0,0,8,-1.619602687,NA
1,2,1,0.816853048,8,-1.391214493,NA
1,3,0,0.056896531,8,-1.381439191,NA
1,4,0,0,8,0.464149117,NA
1,5,0,0,8,-1.580990802,NA
1,6,0,0,8,-1.382035841,1
2,0,0,0.946583832,10,0.446583832,NA
2,1,0,0,10,-1.466343677,NA
2,2,0,0,10,-1.639751521,NA
2,3,1,0,10,-1.341180654,NA
2,4,0,0,10,-1.480290616,NA
2,5,0,0,10,-1.559861188,NA
2,6,0,0,10,0.339473676,0
3,0,0,1.012466446,8,0.512466446,NA
3,1,1,1.046911691,8,0.666307887,NA
3,2,0,0,8,-1.405068639,NA
3,3,0,0,8,-1.559112857,NA
3,4,0,0,8,-1.614062684,NA
3,5,1,0,8,-1.540313388,NA
3,6,1,0,8,-1.611040773,0
4,0,0,0.988126011,6,0.488126011,NA
4,1,1,0,6,-1.369807283,NA
4,2,1,0.027041124,6,0.42271859,NA
4,3,1,0,6,-1.341684655,NA
4,4,1,0,6,-1.558622771,NA
4,5,0,0,6,-1.48623862,NA
4,6,0,0,6,-1.496178717,0
5,0,0,1.061635655,9,0.561635655,NA
5,1,1,0,9,0.591687583,NA
5,2,1,0,9,-1.576844588,NA
5,3,0,0,9,0.590648305,NA
5,4,1,0.965236535,9,-1.576323754,NA
5,5,1,0,9,-1.375575332,NA
5,6,1,0,9,-1.538591056,0
6,0,0,1.051582924,9,0.551582924,NA
6,1,0,0,9,-1.457299041,NA
6,2,0,0,9,-1.540225864,NA
6,3,0,0,9,-1.557303136,NA
6,4,1,0.983961774,9,-1.578559839,NA
6,5,0,2.051673221,9,0.459565964,NA
6,6,0,0,9,-1.503976577,1
7,0,0,0.976502225,10,0.476502225,NA
7,1,0,0,10,-1.462598208,NA
7,2,0,0,10,0.473682743,NA
7,3,1,0.87601955,10,0.339891937,NA
7,4,0,0.073913741,10,-1.491709998,NA
7,5,0,0,10,-1.643098236,NA
7,6,0,0,10,-1.640816377,0
8,0,0,0.966511596,5,0.466511596,NA
8,1,1,0,5,-1.552499002,NA
8,2,0,0,5,-1.444243866,NA
8,3,0,0,5,-1.594845065,NA
8,4,0,0,5,0.624199232,NA
8,5,1,0,5,0.576651294,NA
8,6,0,0,5,-1.325844876,0
9,0,0,0.864740565,5,0.364740565,NA
9,1,1,0,5,-1.467899472,NA
9,2,1,1.956271816,5,0.550751527,NA
9,3,1,0,5,-1.647765272,NA
9,4,1,1.908084553,5,-1.575354364,NA
9,5,0,0,5,0.463236294,NA
9,6,1,0,5,0.475429182,0
10,0,1,1.242584855,9,0.742584855,NA
10,1,0,0.017158466,9,-1.461245131,NA
10,2,0,0,9,-1.395663027,NA
10,3,1,0.854030815,9,-1.471291883,NA
10,4,1,0,9,-1.513237398,NA
10,5,0,0,9,-1.533954075,NA
10,6,0,0,9,-1.52352779,0
11,0,0,1.0683632,5,0.5683632,NA
11,1,0,0,5,-1.310494873,NA
11,2,0,0,5,0.496541715,NA
11,3,0,0,5,-1.702403154,NA
11,4,0,0,5,-1.351321732,NA
11,5,1,0,5,0.271311306,NA
11,6,0,0,5,-1.512248413,0
12,0,1,0.951225568,5,0.451225568,NA
12,1,1,0,5,0.537511508,NA
12,2,0,0.01308176,5,-1.605496671,NA
12,3,1,0,5,-1.644999737,NA
12,4,1,0,5,-1.450575342,NA
12,5,0,0,5,-1.523076021,NA
12,6,0,0,5,-1.426644808,0
13,0,0,0.95483394,9,0.45483394,NA
13,1,0,0,9,-1.420131073,NA
13,2,1,1.028514992,9,-1.440480999,NA
13,3,1,0.033513666,9,-1.491272442,NA
13,4,1,1.8396841,9,-1.55445686,NA
13,5,0,0,9,-1.641720302,NA
13,6,1,0,9,-1.583487094,0
14,0,0,0.945271392,9,0.445271392,NA
14,1,1,1.061942376,9,0.490893692,NA
14,2,1,0,9,-1.397439519,NA
14,3,0,0,9,-1.525139218,NA
14,4,0,0,9,-1.363440366,NA
14,5,1,0.990379521,9,-1.46090138,NA
14,6,0,1.90178287,9,-1.44395641,0
15,0,1,0.980537059,5,0.480537059,NA
15,1,0,0,5,-1.59737858,NA
15,2,0,0,5,-1.498807108,NA
15,3,0,0,5,-1.41452705,NA
15,4,1,0,5,-1.441265028,NA
15,5,1,0,5,-1.59314711,NA
15,6,0,0,5,-1.597155327,0
16,0,1,1.054250684,6,0.554250684,NA
16,1,1,0,6,-1.518059341,NA
16,2,0,0,6,-1.667549189,NA
16,3,0,0,6,-1.505280985,NA
16,4,1,0,6,-1.524592295,NA
16,5,0,0,6,-1.46036807,NA
