id,t0,L,A,Y
1,0,D,0,0
1,1,E,0,0
1,2,B,1,0
1,3,A,0,0
1,4,D,1,1
2,0,E,0,0
2,1,E,0,0
2,2,B,1,0
2,3,E,0,0
2,4,E,1,0
2,5,E,1,0
2,6,E,1,0
2,7,E,1,1
3,0,D,0,0
3,1,B,1,0
3,2,B,0,0
3,3,D,1,0
3,4,E,1,1
4,0,C,0,0
4,1,B,1,0
4,2,B,0,0
4,3,E,1,0
4,4,E,1,0
4,5,E,1,0
4,6,B,1,0
4,7,D,0,0
4,8,E,0,0
4,9,E,0,0
5,0,C,0,0
5,1,E,0,0
5,2,E,0,0
5,3,E,1,0
5,4,E,1,0
5,5,E,1,0
5,6,E,1,1
6,0,B,0,0
6,1,D,0,0
6,2,E,1,0
6,3,E,1,0
6,4,E,1,0
6,5,E,1,0
6,6,E,0,0
6,7,E,0,0
6,8,E,1,0
6,9,E,0,0
7,0,C,0,0
7,1,B,0,0
7,2,D,1,0
7,3,E,1,0
7,4,E,1,0
7,5,E,1,0
7,6,E,1,0
7,7,A,1,0
7,8,D,1,0
7,9,E,1,0
8,0,E,0,0
8,1,B,0,0
8,2,A,1,0
8,3,A,0,0
8,4,A,0,0
8,5,A,1,0
8,6,D,1,0
8,7,E,0,0
8,8,E,1,0
8,9,E,0,0
9,0,B,0,0
9,1,C,0,0
9,2,E,0,0
9,3,E,0,0
9,4,E,1,0
9,5,E,1,0
9,6,E,1,1
10,0,D,0,0
10,1,E,0,0
10,2,B,0,0
10,3,A,1,0
10,4,D,1,0
10,5,E,1,0
10,6,E,1,0
10,7,E,1,0
10,8,A,1,0
10,9,D,1,0
11,0,C,0,0
11,1,D,1,0
11,2,E,1,0
11,3,B,0,0
11,4,E,1,0
11,5,E,1,0
11,6,E,1,0
11,7,E,1,0
11,8,E,1,0
11,9,E,1,0
12,0,A,0,0
12,1,D,1,0
12,2,E,1,0
12,3,E,1,0
12,4,E,1,0
12,5,E,1,0
12,6,E,0,0
12,7,E,1,0
12,8,E,1,0
12,9,E,1,0
13,0,E,0,0
13,1,E,1,0
13,2,B,1,0
13,3,A,1,0
13,4,D,1,0
13,5,E,1,0
13,6,E,1,0
13,7,E,1,0
13,8,E,0,0
13,9,E,1,1
14,0,B,0,0
14,1,A,1,0
14,2,D,1,0
14,3,D,1,0
14,4,E,0,0
14,5,E,0,0
14,6,E,1,0
14,7,E,1,0
14,8,E,0,0
14,9,E,1,0
15,0,D,0,0
15,1,A,1,1
16,0,D,0,1
17,0,A,0,0
17,1,D,0,0
17,2,E,1,0
17,3,E,0,0
17,4,E,1,1
18,0,A,0,0
18,1,D,0,0
18,2,B,1,0
18,3,E,1,0
18,4,E,1,0
18,5,E,1,0
18,6,E,1,0
18,7,E,1,0
18,8,E,1,0
18,9,E,0,0
19,0,D,0,0
19,1,E,0,0
19,2,B,1,0
19,3,E,1,0
19,4,E,1,0
19,5,E,1,0
19,6,E,1,0
19,7,A,1,0
19,8,D,1,0
19,9,E,1,1
20,0,A,0,0
20,1,D,0,0
20,2,B,0,0
20,3,A,1,0
20,4,D,1,0
20,5,E,0,0
20,6,E,0,0
20,7,E,1,0
20,8,E,1,0
20,9,E,1,0
21,0,C,0,0
21,1,E,1,0
21,2,B,1,0
21,3,D,1,0
21,4,E,1,0
21,5,E,1,0
21,6,E,1,0
21,7,E,0,0
21,8,E,0,0
21,9,E,0,0
22,0,D,0,0
22,1,B,0,0
22,2,D,1,0
22,3,B,1,0
22,4,D,1,0
22,5,A,1,0
22,6,A,1,0
22,7,D,0,0
22,8,E,1,0
22,9,E,0,0
23,0,C,0,0
23,1,B,0,0
23,2,A,0,0
23,3,D,1,1
24,0,D,0,0
24,1,B,0,0
24,2,E,1,0
24,3,E,1,0
24,4,E,0,0
24,5,E,1,0
24,6,A,1,1
25,0,B,0,0
25,1,B,0,0
25,2,A,1,1
26,0,D,0,0
26,1,B,0,0
26,2,A,1,0
26,3,D,0,0
26,4,E,1,0
26,5,A,1,0
26,6,D,1,0
26,7,E,1,0
26,8,E,1,0
26,9,A,1,0
27,0,D,0,0
27,1,B,1,0
27,2,A,1,0
27,3,D,1,0
27,4,A,1,0
27,5,D,1,0
27,6,E,0,0
27,7,E,0,0
27,8,A,1,1
28,0,D,0,0
28,1,E,1,0
28,2,B,1,0
28,3,D,1,0
28,4,E,1,0
28,5,E,0,0
28,6,E,0,0
28,7,E,1,0
28,8,E,1,0
28,9,E,1,0
29,0,D,0,0
29,1,A,0,0
29,2,D,1,0
29,3,E,1,0
29,4,E,0,0
29,5,E,1,0
29,6,E,1,0
29,7,E,1,0
29,8,E,1,0
29,9,E,0,0
30,0,D,0,0
30,1,B,0,0
30,2,D,1,0
30,3,A,1,0
