id,t0,L1,L2,L3,A,Y
1,0,3,0.577420336,8,1,NA
1,1,3,-1.619602687,8,1,NA
1,2,3,-1.391214493,8,1,NA
1,3,2,-1.381439191,8,0,NA
1,4,1,0.464149117,8,1,NA
1,5,3,-1.580990802,8,1,NA
1,6,3,-1.382035841,8,1,-5.339072892
2,0,3,0.446583832,5,1,NA
2,1,3,-1.466343677,5,1,NA
2,2,2,-1.639751521,5,1,NA
2,3,3,-1.341180654,5,1,NA
2,4,2,-1.480290616,5,1,NA
2,5,1,-1.559861188,5,0,NA
2,6,3,0.339473676,5,1,-5.447034707
3,0,3,0.512466446,6,0,NA
3,1,3,0.666307887,6,1,NA
3,2,3,-1.405068639,6,1,NA
3,3,2,-1.559112857,6,1,NA
3,4,2,-1.614062684,6,1,NA
3,5,2,-1.540313388,6,1,NA
3,6,2,-1.611040773,6,1,-4.762320867
4,0,3,0.488126011,5,1,NA
4,1,3,-1.369807283,5,0,NA
4,2,3,0.42271859,5,1,NA
4,3,2,-1.341684655,5,1,NA
4,4,2,-1.558622771,5,1,NA
4,5,3,-1.48623862,5,1,NA
4,6,3,-1.496178717,5,1,-5.366881475
5,0,3,0.561635655,8,0,NA
5,1,1,0.591687583,8,1,NA
5,2,3,-1.576844588,8,0,NA
5,3,2,0.590648305,8,1,NA
5,4,3,-1.576323754,8,1,NA
5,5,2,-1.375575332,8,1,NA
5,6,2,-1.538591056,8,0,-2.498661321
6,0,2,0.551582924,10,1,NA
6,1,3,-1.457299041,10,1,NA
6,2,3,-1.540225864,10,1,NA
6,3,2,-1.557303136,10,1,NA
6,4,2,-1.578559839,10,0,NA
6,5,1,0.459565964,10,1,NA
6,6,3,-1.503976577,10,1,-5.360144853
7,0,2,0.476502225,6,1,NA
7,1,1,-1.462598208,6,0,NA
7,2,1,0.473682743,6,0,NA
7,3,3,0.339891937,6,1,NA
7,4,3,-1.491709998,6,1,NA
7,5,1,-1.643098236,6,1,NA
7,6,2,-1.640816377,6,1,-4.669046794
8,0,3,0.466511596,10,1,NA
8,1,2,-1.552499002,10,1,NA
8,2,2,-1.444243866,10,1,NA
