id,t0,L,A,Y
1,0,-0.463600541,0,0
1,1,-0.090530264,0,0
1,2,-0.576739626,0,0
1,3,-1.002612257,0,0
1,4,-1.653175716,0,0
1,5,-2.800177626,0,0
1,6,-2.871298631,1,0
1,7,-2.885480098,1,0
1,8,-3.508910866,0,0
1,9,-3.016971793,0,0
2,0,0.618891094,1,0
2,1,0.487412327,0,1
3,0,-0.396168782,0,0
3,1,-0.086716727,0,0
3,2,0.099311862,1,0
3,3,-0.74123805,0,0
3,4,-1.092508075,1,0
3,5,-0.621733416,1,0
3,6,-0.47162292,1,0
3,7,0.599064822,1,1
4,0,-0.020902686,0,0
4,1,0.313710788,1,0
4,2,0.25169604,1,0
4,3,-0.506924987,1,0
4,4,0.87809123,1,0
4,5,0.790133285,1,0
4,6,0.48418988,1,1
5,0,-0.699544349,0,0
5,1,-1.068323818,0,0
5,2,-0.049043331,0,0
5,3,-0.259957284,1,0
5,4,-0.253398922,1,0
5,5,0.002516117,1,1
6,0,-0.365502498,0,0
6,1,-0.47237087,0,0
6,2,-0.393233969,0,0
6,3,-0.508203754,1,0
6,4,-0.748466562,0,0
6,5,0.005067295,1,1
7,0,0.990001499,1,0
7,1,0.158658787,0,0
7,2,0.148950457,0,0
7,3,-0.120430973,1,0
7,4,-1.094203956,1,0
7,5,-1.10420064,1,0
7,6,-0.861892858,1,0
7,7,-0.214330612,1,0
7,8,0.492577227,1,0
7,9,0.769422695,1,0
8,0,-0.386890826,0,0
8,1,-0.559855143,0,0
8,2,-0.3485332,1,0
8,3,-1.205085235,0,0
8,4,-1.767643795,0,0
8,5,-2.077516576,0,0
8,6,-1.934144475,0,0
8,7,-2.231671792,1,0
8,8,-1.476389164,1,0
8,9,-1.68982419,1,0
9,0,0.263661122,0,0
9,1,0.491797779,0,0
9,2,0.039239853,1,0
9,3,-0.987560133,0,0
9,4,-0.616203,1,0
9,5,0.046195342,1,0
9,6,-0.281363946,1,0
9,7,-0.363481885,1,0
9,8,-0.862807385,1,0
9,9,-0.288055098,1,0
10,0,-0.420555297,0,0
10,1,-0.946166575,0,0
10,2,-0.940075666,0,0
10,3,-1.426967557,0,0
10,4,-1.184170607,0,0
10,5,-1.116755758,0,0
10,6,-0.36818806,1,1
11,0,-0.193717635,0,0
11,1,0.181494627,0,0
11,2,0.281953555,0,0
11,3,0.525209434,1,0
11,4,0.699611411,1,1
12,0,-0.211596354,0,0
12,1,-0.286964471,0,0
12,2,-0.485410103,1,0
12,3,-0.354028301,1,0
12,4,-0.12878319,1,0
12,5,0.168919569,1,0
12,6,-0.109394563,1,0
12,7,-0.575921745,1,0
12,8,0.269724712,1,0
12,9,0.551876799,1,0
13,0,-0.94556783,0,0
13,1,-0.24143642,0,0
13,2,0.514506111,0,0
13,3,0.740244063,0,0
13,4,0.824981398,1,0
13,5,0.423950919,1,0
13,6,0.25640796,1,0
13,7,-0.425627867,1,0
13,8,-0.878316238,1,0
13,9,-1.163093061,1,0
14,0,-1.33627333,0,0
14,1,-0.645807585,0,0
14,2,-0.704592901,0,0
14,3,-0.169307841,0,0
14,4,-0.317528925,1,0
14,5,0.56230316,1,0
14,6,0.70210699,1,0
14,7,0.427309487,1,0
14,8,0.460413394,1,0
14,9,0.865344853,1,0
15,0,-0.987367287,0,0
15,1,-0.902384352,0,0
15,2,-0.985585198,0,0
15,3,-0.796229933,0,0
15,4,-0.684478929,1,0
15,5,-0.148413664,1,1
16,0,-0.129552849,0,0
16,1,0.020128771,1,0
16,2,0.257400742,1,0
16,3,0.295462935,1,0
16,4,0.633250893,1,0
16,5,-0.153932071,1,0
16,6,-0.374739351,1,0
16,7,-0.328948562,1,0
16,8,-0.043678908,1,1
17,0,0.255907954,0,1
18,0,0.305902897,0,0
18,1,0.412730039,1,0
18,2,-0.37325261,1,0
18,3,0.060115523,0,0
18,4,-0.861116501,0,0
18,5,-0.349520386,1,0
18,6,0.30674858,1,0
18,7,-0.141200347,1,0
18,8,-0.02421858,1,0
18,9,-0.117777389,1,0
19,0,0.008807566,0,0
19,1,0.203224869,0,0
19,2,0.2009007,0,0
19,3,0.419685149,1,0
19,4,-0.227045103,1,1
20,0,0.603561069,0,0
20,1,0.975310408,0,1
21,0,-0.17077414,0,0
21,1,0.628170594,1,0
21,2,0.286385207,0,0
21,3,0.735126599,1,0
21,4,-0.516879771,1,0
21,5,-1.236935594,1,0
21,6,-1.23743505,1,0
21,7,-1.33081036,1,0
21,8,-1.297318332,1,0
21,9,-1.513417256,1,0
22,0,0.522595605,0,1
23,0,-0.662655698,0,0
23,1,0.208619587,0,0
23,2,0.09065124,1,0
23,3,0.506818216,1,0
23,4,-0.285012876,1,0
23,5,0.162980213,1,0
23,6,0.204079844,1,0
23,7,0.56403433,1,0
23,8,-0.540573375,1,0
23,9,-0.133013635,1,0
24,0,-0.211920563,0,0
24,1,-0.49516283,0,0
24,2,-0.797076007,0,0
24,3,0.136720938,1,0
24,4,0.36292509,1,0
24,5,0.906919581,1,1
25,0,-0.695816642,0,0
25,1,-0.198346252,0,0
25,2,0.297951747,0,0
25,3,-0.108580701,1,0
25,4,0.590064888,1,0
25,5,0.302194431,1,0
25,6,0.270396632,1,0
25,7,-0.025627518,1,0
25,8,-0.565640157,1,0
25,9,-0.999323624,1,0
26,0,0.217081399,0,0
26,1,0.545863911,1,1
27,0,0.120022059,0,0
27,1,-0.030192937,0,0
27,2,0.032882567,1,0
27,3,-0.155035272,1,0
27,4,-0.413479987,1,0
27,5,0.156327906,1,1
28,0,0.306257557,0,0
28,1,-0.279474034,0,0
28,2,-1.301314378,0,0
28,3,-2.074651137,0,0
28,4,-2.097712097,0,0
28,5,-1.819324251,0,0
28,6,-1.692805365,0,0
28,7,-1.966892855,1,0
28,8,-2.202350964,1,0
28,9,-2.887870518,1,0
29,0,0.406676278,0,1
30,0,-0.264504203,0,0
30,1,-0.358644256,0,0
30,2,-0.033990999,0,0
30,3,0.310080326,1,0
30,4,-1.106695676,1,0
30,5,-0.831227958,1,0
30,6,-0.983180568,1,0
30,7,-1.627661229,1,0
30,8,-0.397187925,1,0
30,9,0.032905643,1,0
31,0,0.926189118,1,0
31,1,0.615216168,1,0
31,2,0.818485352,1,0
31,3,0.356822403,1,1
32,0,-0.122885694,0,0
32,1,-0.47402678,0,0
32,2,0.401444404,0,0
32,3,0.686704362,1,0
32,4,0.863851567,1,0
32,5,0.247155736,1,0
32,6,-0.223867592,1,0
32,7,-0.637976577,1,0
32,8,-0.217378052,1,0
32,9,-0.216717619,1,0
33,0,-0.182972074,0,0
33,1,-0.728627038,0,0
33,2,-0.534608971,0,0
33,3,-0.449167824,0,0
33,4,0.337688818,1,0
33,5,0.933753696,1,1
34,0,-0.422270953,0,0
34,1,-0.749723582,0,0
34,2,-0.753540032,0,0
34,3,-0.589586715,1,0
34,4,0.00760644,1,0
34,5,-0.250000482,1,0
34,6,-0.48835583,1,0
34,7,-0.326662406,1,0
34,8,-0.245816693,1,0
34,9,0.406462969,1,0
35,0,0.722707382,1,1
36,0,-0.711327038,0,0
36,1,-1.139331021,0,0
36,2,-1.669199935,0,0
36,3,-2.045247071,0,0
36,4,-0.815776562,0,0
36,5,-0.697847992,1,0
36,6,-1.410641942,1,0
36,7,-2.211700702,1,0
36,8,-2.994288242,1,0
36,9,-3.633941308,1,0
37,0,0.919900913,0,0
37,1,0.395444372,0,0
37,2,0.714432903,1,0
37,3,0.810260188,1,0
37,4,0.508116077,1,0
37,5,-0.148791919,1,0
37,6,-0.637256616,1,0
37,7,-1.053737944,1,0
37,8,-0.650869885,1,0
37,9,-0.670280166,1,0
38,0,0.121899468,0,0
38,1,-0.590398193,0,0
38,2,-2.039423814,0,0
38,3,-1.894232594,0,0
38,4,-2.374493047,0,0
38,5,-1.985403291,0,0
38,6,-1.510236818,1,0
38,7,0.183690733,1,0
38,8,0.704763716,1,0
38,9,0.419280344,1,0
39,0,0.192293805,0,0
39,1,0.455102087,0,0
39,2,0.157106146,1,0
39,3,-0.545066249,1,0
39,4,-0.341694318,1,0
39,5,-0.415637264,1,0
39,6,-0.381314506,1,0
39,7,-0.278825721,1,0
39,8,-0.075752608,1,0
39,9,-0.233637971,1,0
40,0,0.036426849,0,0
40,1,0.455748091,1,0
40,2,0.978530355,1,0
40,3,0.306135908,1,0
40,4,0.403903786,1,0
40,5,0.892805926,1,1
41,0,0.615524767,0,0
41,1,0.788389833,0,0
41,2,0.328716909,1,0
41,3,0.185964834,1,0
41,4,0.598549144,1,0
41,5,0.948450112,1,1
42,0,-0.897227808,0,0
42,1,-1.570998062,0,0
42,2,-1.977867334,0,0
42,3,-1.165839457,0,0
42,4,-0.659022033,0,0
42,5,-0.437014197,0,0
42,6,-0.752116141,1,0
42,7,-0.665504574,1,0
42,8,-0.883670891,1,0
42,9,-0.377260614,1,0
43,0,-0.407978557,0,0
43,1,-0.535364356,0,0
43,2,-1.397756128,0,0
43,3,-0.018818376,0,0
43,4,-1.112355981,0,0
43,5,-0.845299858,0,0
43,6,-0.185791238,1,0
43,7,-0.762903901,1,0
43,8,-0.559968536,1,0
43,9,-0.320286149,1,0
44,0,0.773993984,0,0
44,1,0.693414147,1,0
44,2,0.268101585,1,1
45,0,0.008792959,0,0
45,1,0.536975027,1,1
46,0,-0.124737441,0,0
46,1,-0.652256914,0,0
46,2,-0.617276143,0,0
46,3,-1.404235502,1,0
46,4,-0.843746958,1,0
46,5,-1.127440455,1,0
46,6,-0.384443047,1,0
46,7,0.510082354,1,0
46,8,0.460333086,1,1
47,0,0.669299377,1,0
47,1,0.344925817,0,0
47,2,-0.042915034,1,1
48,0,-1.279916082,0,0
48,1,-1.581641307,0,0
48,2,-0.979442061,0,0
48,3,-0.911582112,0,0
48,4,0.08934398,0,0
48,5,0.430050067,1,0
48,6,0.690247788,1,1
49,0,-0.361934009,0,0
49,1,-0.486701095,0,0
49,2,-0.940355274,1,0
49,3,-0.46760609,0,0
49,4,-0.708084987,1,0
49,5,0.196251229,1,0
49,6,0.043823466,1,0
49,7,-0.292681601,1,0
49,8,0.524499109,1,1
50,0,-0.363735324,0,0
50,1,-0.561569775,0,0
50,2,-0.421250862,0,0
50,3,-0.798089205,1,0
50,4,-0.857062867,0,0
50,5,-1.298666802,0,0
50,6,-2.077573759,0,0
50,7,-1.909940162,1,0
50,8,-1.390144162,1,0
50,9,-1.235439574,1,0
51,0,0.209184295,0,0
51,1,0.303205267,0,0
51,2,-0.287595469,1,0
51,3,-0.898915206,1,0
51,4,-0.899592646,1,0
51,5,-0.975741355,0,0
51,6,-0.269873302,1,0
51,7,0.10532088,1,0
51,8,-0.156552685,1,0
51,9,-1.188381755,1,0
52,0,-0.434017413,0,0
52,1,-0.232689675,0,0
52,2,0.360402759,0,0
52,3,0.385123659,1,0
52,4,-0.665889235,1,0
52,5,-1.081874908,1,0
52,6,-0.928719257,1,0
52,7,-1.16662218,1,0
52,8,-1.068232617,1,0
52,9,-1.478722041,1,0
53,0,-0.331083975,0,0
53,1,-0.348404331,0,0
53,2,-0.228689352,0,0
53,3,-0.458729979,1,0
53,4,0.379203147,1,0
53,5,0.45326494,1,0
53,6,0.649615694,1,0
53,7,0.375017497,1,0
53,8,-0.483413716,1,0
53,9,-0.288535079,1,0
54,0,-1.624183893,0,0
54,1,-2.834739383,0,0
54,2,-2.892707306,0,0
54,3,-2.713568315,0,0
54,4,-2.427490411,0,0
54,5,-3.213694246,0,0
54,6,-3.015439468,0,0
54,7,-2.29732436,0,0
54,8,-1.829107453,1,0
54,9,-2.28117459,1,0
55,0,0.75938243,0,0
55,1,0.723541777,0,0
