id,t0,L,A,Y
1,0,0,1,0
1,1,2.656331664,1,0
1,2,5.331177112,1,0
1,3,0,0,0
1,4,0.494189664,0,0
1,5,1.644984947,1,0
1,6,0,0,0
1,7,0,0,0
1,8,1.519136104,0,0
1,9,0,0,0
2,0,0,1,1
3,0,0,1,0
3,1,3.632333752,1,0
3,2,0,1,0
3,3,3.765247852,1,0
3,4,7.745801135,1,0
3,5,0,0,1
4,0,0.483592836,1,0
4,1,3.739371705,1,0
4,2,7.178236133,1,0
4,3,0,0,1
5,0,0,1,0
5,1,3.327184123,1,0
5,2,0,0,0
5,3,0,0,0
5,4,0,0,0
5,5,0,0,0
5,6,0,0,0
5,7,0,0,0
5,8,1.874326323,0,0
5,9,0,0,0
6,0,0,1,0
6,1,2.677274133,1,0
6,2,0,1,0
6,3,0,0,1
7,0,0.352741527,1,0
7,1,2.909944588,1,0
7,2,0,0,0
7,3,0,0,0
7,4,0,0,0
7,5,1.388210457,0,0
7,6,0,0,0
7,7,1.855326348,0,0
7,8,0,0,0
7,9,1.677573525,0,0
8,0,0.286524107,1,0
8,1,3.709981987,1,0
8,2,0,0,0
8,3,0,0,0
8,4,0,0,1
9,0,0,1,0
9,1,2.391535493,1,0
9,2,0,0,0
9,3,0.592370696,0,0
9,4,0,0,1
10,0,0,1,0
10,1,2.967011419,1,0
10,2,0,1,0
10,3,3.502157318,1,0
10,4,0,0,0
10,5,0,0,0
10,6,0,0,0
10,7,1.518196287,0,0
10,8,0,0,0
10,9,0,0,0
11,0,0,1,0
11,1,3.869557513,1,0
11,2,0,1,0
11,3,3.126188288,1,0
11,4,0,0,0
11,5,0,0,0
11,6,0,0,0
11,7,0,0,0
11,8,0,0,0
11,9,0,0,0
12,0,0,1,0
12,1,2.446787741,1,0
12,2,0,0,0
12,3,0.970435945,0,0
12,4,0,0,0
12,5,0.730575911,0,0
12,6,0,0,1
13,0,0,1,0
13,1,3.250743699,1,0
13,2,0,1,0
13,3,3.57567994,1,0
13,4,0,0,0
13,5,0,0,0
13,6,0,0,1
14,0,0.166504966,1,0
14,1,2.393784755,1,0
14,2,5.596014489,1,0
14,3,0,0,0
14,4,0,0,0
14,5,0,0,0
14,6,0,0,0
14,7,0,0,1
15,0,0,1,0
15,1,3.405340421,1,0
15,2,6.525012474,1,0
15,3,0,0,1
16,0,0.367692134,1,0
16,1,3.716251177,1,0
16,2,0,0,0
16,3,0,0,0
16,4,0,0,0
16,5,0,0,0
16,6,0,0,0
16,7,0,0,1
17,0,0,1,0
17,1,3.08707082,1,0
17,2,0,1,0
17,3,3.949551901,1,0
17,4,0,0,0
17,5,0,0,0
17,6,0,0,0
17,7,1.243415065,0,0
17,8,0,0,0
17,9,1.925672242,0,0
18,0,0,1,0
18,1,3.223341627,1,0
18,2,6.945163531,1,0
18,3,0,0,0
18,4,0,0,0
18,5,0.626511235,0,0
18,6,0,0,1
19,0,0,1,0
19,1,2.812069446,1,0
19,2,0,1,0
19,3,3.74953979,1,0
19,4,0,0,1
20,0,0,1,0
20,1,2.620734,1,0
20,2,0,0,0
20,3,0,0,0
20,4,0,0,0
20,5,0,0,0
20,6,0,0,0
20,7,0,0,0
20,8,0.92258919,0,0
20,9,2.267175649,0,0
21,0,0,1,1
22,0,0,1,0
22,1,0,1,0
22,2,2.49996177,1,0
22,3,6.464958404,1,0
22,4,0,0,0
22,5,1.405980266,0,0
22,6,0,0,0
22,7,0,0,0
22,8,0,0,0
22,9,0,0,0
23,0,0.26325805,1,0
23,1,3.84510978,1,0
23,2,7.650134444,1,0
23,3,0,0,0
23,4,0,0,0
23,5,0,0,0
23,6,0,0,0
23,7,0,0,0
23,8,0,0,0
23,9,0,0,0
24,0,0,1,0
24,1,3.183912764,1,0
24,2,6.048774963,1,0
24,3,0,0,0
24,4,1.123236134,0,0
24,5,0,0,1
25,0,0,1,0
25,1,3.674616794,1,0
25,2,0,1,1
26,0,0.232195112,1,0
26,1,3.708714885,1,0
26,2,0,0,0
26,3,0,0,0
26,4,0,0,0
26,5,0,0,0
26,6,0,0,0
26,7,1.462501652,0,0
26,8,0,0,0
26,9,0,0,0
27,0,0,1,0
27,1,3.259972721,1,0
27,2,0,0,1
28,0,0,1,0
28,1,2.620314044,1,0
28,2,0,0,0
28,3,1.098995916,0,0
28,4,0,0,0
28,5,0,0,0
28,6,0,0,0
28,7,0,0,0
28,8,0,0,0
28,9,0,0,0
29,0,0.061192465,1,0
29,1,3.888476306,1,0
29,2,7.718208407,1,0
29,3,0,0,0
29,4,0,0,0
29,5,0,0,0
29,6,0,0,1
30,0,0,1,0
30,1,3.243010227,1,0
30,2,0,0,0
30,3,0,0,0
30,4,0,0,0
30,5,0,0,0
30,6,0,0,1
31,0,0,1,1
32,0,0,1,0
32,1,3.174640778,1,0
32,2,0,0,0
32,3,0.018871391,0,0
32,4,1.05625218,1,0
32,5,4.258943835,1,0
32,6,0,0,0
32,7,0,0,0
32,8,1.535789658,0,0
32,9,0,0,0
33,0,0.131879762,1,0
33,1,2.655608944,1,0
33,2,0,0,1
34,0,0,1,0
34,1,3.528271712,1,0
34,2,7.301366009,1,0
34,3,0,0,0
34,4,0.644280704,0,0
34,5,0,0,0
34,6,1.669227116,0,0
34,7,2.63198464,0,0
34,8,0,0,0
34,9,0,0,0
35,0,0,1,0
35,1,2.824160912,1,0
35,2,0,1,0
35,3,3.441286841,1,0
35,4,0,0,0
35,5,0,0,0
35,6,0,0,0
35,7,0,0,0
35,8,0,0,0
35,9,0.85626321,0,0
36,0,0.190429042,1,0
36,1,4.296702444,1,0
36,2,0,0,0
36,3,0,0,0
36,4,0,0,1
37,0,0.038552532,1,0
37,1,3.20665069,1,0
37,2,0,0,0
37,3,0.554638682,0,0
37,4,1.416366029,1,0
37,5,0,0,1
38,0,0,1,0
38,1,2.866864668,1,0
38,2,0,1,0
38,3,3.616044881,1,0
38,4,7.35582128,1,0
38,5,0,0,0
38,6,0,0,0
38,7,0,0,0
38,8,0,0,0
38,9,0,0,0
39,0,0,1,0
39,1,2.150711691,1,0
39,2,5.15974916,1,0
39,3,0,0,0
39,4,0,0,0
39,5,0,0,0
39,6,0,0,0
39,7,0,0,0
39,8,2.014714107,0,0
39,9,0,0,0
40,0,0,1,0
40,1,2.606256042,1,0
40,2,6.421978744,1,0
40,3,0,0,0
40,4,0,0,0
40,5,0,0,0
40,6,1.579295594,0,0
40,7,0,0,0
40,8,0,0,0
40,9,0,0,0
41,0,0,1,0
